,sname,location,url,type,membership,website,nature,feature
104,中国药科大学, 江苏,http://college.gaokao.com/school/79/, 医药, 教育部, www.cpu.edu.cn, 本科,211
105,南京师范大学, 江苏,http://college.gaokao.com/school/80/, 师范, 江苏省教育厅, www.njnu.edu.cn, 本科,211
106,安徽大学, 安徽,http://college.gaokao.com/school/81/, 综合, 安徽省教育厅, www.ahu.edu.cn, 本科,211
107,合肥工业大学, 安徽,http://college.gaokao.com/school/82/, 工科, 教育部, www.hfut.edu.cn/ch/, 本科,211
108,福州大学, 福建,http://college.gaokao.com/school/83/, 工科, 福建省教育厅, www.fzu.edu.cn, 本科,211
109,郑州大学, 河南,http://college.gaokao.com/school/84/, 综合, 河南省教育厅, www.zzu.edu.cn, 本科,211
110,华中农业大学, 湖北,http://college.gaokao.com/school/85/, 农业, 教育部, www.hzau.edu.cn, 本科,211
111,华中师范大学, 湖北,http://college.gaokao.com/school/86/, 师范, 教育部, www.ccnu.edu.cn, 本科,211
112,湖南师范大学, 湖南,http://college.gaokao.com/school/87/, 师范, 湖南省教育厅, www.hunnu.edu.cn, 本科,211
113,暨南大学, 广东,http://college.gaokao.com/school/88/, 综合, 国务院侨务办公室, www.jnu.edu.cn, 本科,211
114,华南农业大学, 广东,http://college.gaokao.com/school/89/, 农业, 广东省教育厅, ——, 本科,——
115,广州中医药大, 广东,http://college.gaokao.com/school/90/, 医药, 广东省教育厅, www.gzucm.edu.cn, 本科,——
116,华南师范大学, 广东,http://college.gaokao.com/school/91/, 师范, 广东省教育厅, www.scnu.edu.cn, 本科,211
117,海南大学, 海南,http://college.gaokao.com/school/92/, 综合, 海南省教育厅, www.hainu.edu.cn, 本科,211
118,广西大学, 广西,http://college.gaokao.com/school/93/, 综合, 广西壮族自治区教育厅, www.gxu.edu.cn, 本科,211
119,西南交通大学, 四川,http://college.gaokao.com/school/94/, 工科, 教育部, www.swjtu.edu.cn, 本科,211
120,四川农业大学, 四川,http://college.gaokao.com/school/95/, 农业, 四川省教育厅, www.sicau.edu.cn, 本科,211
121,西南大学, 重庆,http://college.gaokao.com/school/96/, 师范, 教育部, www.swnu.edu.cn, 本科,211
122,西南财经大学, 四川,http://college.gaokao.com/school/97/, 财经, 教育部, www.swufe.edu.cn, 本科,211
123,贵州大学, 贵州,http://college.gaokao.com/school/98/, 综合, 贵州省教育厅, www.gzu.edu.cn/, 本科,211
124,云南大学, 云南,http://college.gaokao.com/school/99/, 综合, 云南省教育厅, www.ynu.edu.cn/, 本科,211
125,西藏大学, 西藏,http://college.gaokao.com/school/100/, 综合, 西藏自治区教育厅, www.utibet.edu.cn, 本科,211
126,西北大学, 陕西,http://college.gaokao.com/school/101/, 综合, 陕西省教育厅, www.nwu.edu.cn, 本科,211
127,西安电子科技, 陕西,http://college.gaokao.com/school/102/, 工科, 教育部, http://www.xidian.edu.cn, 本科,211
128,陕西师范大学, 陕西,http://college.gaokao.com/school/103/, 师范, 教育部, www.snnu.edu.cn, 本科,211
129,青海大学, 青海,http://college.gaokao.com/school/104/, 综合, 青海省教育厅, www.qhu.edu.cn, 本科,211
130,宁夏大学, 宁夏,http://college.gaokao.com/school/105/, 综合, 宁夏回族自治区教育厅, www.nxu.edu.cn, 本科,211
131,新疆大学, 新疆,http://college.gaokao.com/school/106/, 综合, 新疆维吾尔自治区教育厅, www.xju.edu.cn, 本科,211
132,石河子大学, 新疆,http://college.gaokao.com/school/107/, 综合, 新疆生产建设兵团, www.shzu.edu.cn, 本科,211
133,中国矿业大学, 北京,http://college.gaokao.com/school/108/, 工科, ——, www.cumtb.edu.cn, 本科,211
134,中国地质大学, 北京,http://college.gaokao.com/school/109/, 工科, ——, www.cugb.edu.cn, 本科,211
135,南昌大学, 江西,http://college.gaokao.com/school/110/, 综合, 江西省教育厅, www.ncu.edu.cn, 本科,211
136,上海大学, 上海,http://college.gaokao.com/school/111/, 综合, 上海市教育委员会, http://www.shu.edu.cn, 本科,211
137,天津医科大学, 天津,http://college.gaokao.com/school/112/, 医药, 天津市教育委员会, www.tijmu.edu.cn, 本科,211
138,长安大学, 陕西,http://college.gaokao.com/school/113/, 工科, 教育部, www.chd.edu.cn, 本科,211
139,中南财经政法, 湖北,http://college.gaokao.com/school/114/, 财经, 教育部, www.znufe.edu.cn, 本科,211
140,武汉理工大学, 湖北,http://college.gaokao.com/school/115/, 工科, 教育部, www.whut.edu.cn, 本科,211
141,东北农业大学, 黑龙江,http://college.gaokao.com/school/116/, 农业, 黑龙江省教育厅, http://www.neau.edu.cn, 本科,211
142,中国人民解放, 湖南,http://college.gaokao.com/school/117/, 军事, 中国人民解放军总政治部, http://www.nudt.edu.cn, 本科,211-985
143,中国人民解放, 上海,http://college.gaokao.com/school/118/, 军事, 中国人民解放军总政治部, http://www.smmu.edu.cn, 本科,211
144,上海交通大学, 上海,http://college.gaokao.com/school/120/, 医药, 教育部, http://www.bjtu.edu.cn, 本科,985
145,中国传媒大学, 北京,http://college.gaokao.com/school/121/, 语言, 教育部, www.cuc.edu.cn, 本科,211
146,中国地质大学, 湖北,http://college.gaokao.com/school/122/, 工科, ——, www.cug.edu.cn, 本科,211-985
147,中国石油大学, 北京,http://college.gaokao.com/school/123/, 工科, ——, www.cup.edu.cn, 本科,211
148,中国石油大学, 山东,http://college.gaokao.com/school/124/, 工科, ——, www.upc.edu.cn, 本科,985
149,北方工业大学, 北京,http://college.gaokao.com/school/125/, 工科, 北京市教育委员会, www.ncut.edu.cn, 本科,211
150,北京服装学院, 北京,http://college.gaokao.com/school/126/, 工科, 北京市教育委员会, http://www.bift.edu.cn/, 本科,211
151,河海大学, 江苏,http://college.gaokao.com/school/76/, 工科, 教育部, www.hhu.edu.cn, 本科,211
152,江南大学, 江苏,http://college.gaokao.com/school/77/, 综合, 教育部, www.jiangnan.edu.cn, 本科,211
153,南京农业大学, 江苏,http://college.gaokao.com/school/78/, 农业, 教育部, www.njau.edu.cn, 本科,211
154,中国药科大学, 江苏,http://college.gaokao.com/school/79/, 医药, 教育部, www.cpu.edu.cn, 本科,211
155,南京师范大学, 江苏,http://college.gaokao.com/school/80/, 师范, 江苏省教育厅, www.njnu.edu.cn, 本科,211
156,安徽大学, 安徽,http://college.gaokao.com/school/81/, 综合, 安徽省教育厅, www.ahu.edu.cn, 本科,211
157,合肥工业大学, 安徽,http://college.gaokao.com/school/82/, 工科, 教育部, www.hfut.edu.cn/ch/, 本科,211
158,福州大学, 福建,http://college.gaokao.com/school/83/, 工科, 福建省教育厅, www.fzu.edu.cn, 本科,211
159,郑州大学, 河南,http://college.gaokao.com/school/84/, 综合, 河南省教育厅, www.zzu.edu.cn, 本科,211
160,华中农业大学, 湖北,http://college.gaokao.com/school/85/, 农业, 教育部, www.hzau.edu.cn, 本科,211
161,华中师范大学, 湖北,http://college.gaokao.com/school/86/, 师范, 教育部, www.ccnu.edu.cn, 本科,211
162,湖南师范大学, 湖南,http://college.gaokao.com/school/87/, 师范, 湖南省教育厅, www.hunnu.edu.cn, 本科,211
163,暨南大学, 广东,http://college.gaokao.com/school/88/, 综合, 国务院侨务办公室, www.jnu.edu.cn, 本科,211
164,华南农业大学, 广东,http://college.gaokao.com/school/89/, 农业, 广东省教育厅, ——, 本科,——
165,广州中医药大, 广东,http://college.gaokao.com/school/90/, 医药, 广东省教育厅, www.gzucm.edu.cn, 本科,——
166,华南师范大学, 广东,http://college.gaokao.com/school/91/, 师范, 广东省教育厅, www.scnu.edu.cn, 本科,211
167,海南大学, 海南,http://college.gaokao.com/school/92/, 综合, 海南省教育厅, www.hainu.edu.cn, 本科,211
168,广西大学, 广西,http://college.gaokao.com/school/93/, 综合, 广西壮族自治区教育厅, www.gxu.edu.cn, 本科,211
169,西南交通大学, 四川,http://college.gaokao.com/school/94/, 工科, 教育部, www.swjtu.edu.cn, 本科,211
170,四川农业大学, 四川,http://college.gaokao.com/school/95/, 农业, 四川省教育厅, www.sicau.edu.cn, 本科,211
171,西南大学, 重庆,http://college.gaokao.com/school/96/, 师范, 教育部, www.swnu.edu.cn, 本科,211
172,西南财经大学, 四川,http://college.gaokao.com/school/97/, 财经, 教育部, www.swufe.edu.cn, 本科,211
173,贵州大学, 贵州,http://college.gaokao.com/school/98/, 综合, 贵州省教育厅, www.gzu.edu.cn/, 本科,211
