,sname,location,url,type,membership,website,nature
1890,武夷山职业学, ------,http://college.gaokao.com/school/1623/, ------, ——, www.wyszyxy.com, 高职专科
1891,福州黎明职业, 福建,http://college.gaokao.com/school/1625/, 工科, 福建省教育厅, www.fzlmxy.cn, 高职专科
1892,厦门兴才职业, 福建,http://college.gaokao.com/school/1626/, 综合, 福建省教育厅, www.xmxc.com, 高职专科
1893,福州软件职业, 福建,http://college.gaokao.com/school/1627/, 工科, 福建省教育厅, www.fzrjxy.com, 高职专科
1894,泉州理工职业, ------,http://college.gaokao.com/school/1628/, 综合, 福建省教育厅, www.qzit.edu.cn, 高职专科
1895,福州外语外贸, 福建,http://college.gaokao.com/school/1629/, 财经, ——, www.fzfu.com, 高职专科
1896,漳州吉马印刷, ------,http://college.gaokao.com/school/1630/, ------, ——, ——, 高职专科
1897,漳州天福茶职, ------,http://college.gaokao.com/school/1631/, ------, ——, www.tftc.edu.cn, 高职专科
1898,厦门东海职业, 福建,http://college.gaokao.com/school/1632/, 工科, ——, www.xmdh.com, 高职专科
1899,厦门南洋职业, 福建,http://college.gaokao.com/school/1633/, 综合, ——, www.ny2000.com, 高职专科
1900,厦门软件职业, 福建,http://college.gaokao.com/school/1634/, 工科, 福建省教育厅, www.xmist.edu.cn, 高职专科
1901,福州科技职业, 福建,http://college.gaokao.com/school/1635/, 综合, 福建省教育厅, http://www.fzstc.com, 高职专科
1902,福州海峡职业, 福建,http://college.gaokao.com/school/1636/, 财经, 福建省教育厅, www.hxcollege.com, 高职专科
1903,江西渝州科技, 江西,http://college.gaokao.com/school/1637/, 工科, 江西省教育厅, www.ygxy.com, 高职专科
1904,江西科技职业, 江西,http://college.gaokao.com/school/1638/, 综合, 江西省教育厅, www.jxkeda.com, 高职专科
1905,赣西科技职业, ------,http://college.gaokao.com/school/1639/, 综合, 江西省教育厅, www.ganxidx.com, 高职专科
1906,江西城市职业, 江西,http://college.gaokao.com/school/1640/, 综合, 江西省教育厅, www.jxcsedu.com, 高职专科
1907,山东外国语职, 山东,http://college.gaokao.com/school/1641/, 语言, 山东省教育厅, www.sdflc.com, 高职专科
1908,潍坊工商职业, ------,http://college.gaokao.com/school/1642/, 财经, 山东省教育厅, www.wfgsxy.com, 高职专科
1909,枣庄科技职业, ------,http://college.gaokao.com/school/1643/, 工科, 山东省教育厅, http://www.zzkjxy.com, 高职专科
1910,山东凯文科技, 山东,http://college.gaokao.com/school/1644/, 工科, 山东省教育厅, www.sdkevin.cn, 高职专科
1911,山东现代职业, 山东,http://college.gaokao.com/school/1645/, 综合, 山东省教育厅, www.uxd.com.cn, 高职专科
1912,青岛黄海职业, 山东,http://college.gaokao.com/school/1646/, 综合, ——, http://www.huanghaicollege.com, 高职专科
1913,山东华宇职业, 山东,http://college.gaokao.com/school/1647/, 工科, 山东省教育厅, www.sdhyxy.com, 高职专科
1914,山东协和职业, 山东,http://college.gaokao.com/school/1648/, 医药, ——, www.sdxiehe.edu.cn, 高职专科
1915,山东外事翻译, 山东,http://college.gaokao.com/school/1649/, 综合, 山东省教育厅, www.wsfy.cn, 高职专科
1916,山东杏林科技, 山东,http://college.gaokao.com/school/1650/, 综合, 山东省教育厅, www.sdxlxy.com, 高职专科
1917,郑州交通职业, 河南,http://college.gaokao.com/school/1651/, 工科, 河南省教育厅, www.zjtu.edu.cn, 高职专科
1918,郑州电子信息, 河南,http://college.gaokao.com/school/1652/, 工科, 河南省教育厅, www.zyfb.com, 高职专科
1919,嵩山少林武术, ------,http://college.gaokao.com/school/1653/, 体育, 河南省教育厅, www.shaolinkungfu.edu.cn, 高职专科
1920,郑州电力职业, 河南,http://college.gaokao.com/school/1654/, 工科, 河南省教育厅, http://www.zzdl.com, 高职专科
1921,商丘科技职业, ------,http://college.gaokao.com/school/1655/, 工科, ——, ——, 高职专科
1922,武汉工贸职业, 湖北,http://college.gaokao.com/school/1656/, 工科, 湖北省教育厅, http://whitvc.zsxx.e21.edu.cn, 高职专科
1923,黄冈科技职业, ------,http://college.gaokao.com/school/1657/, 工科, 湖北省教育厅, www.hbhgkj.com, 高职专科
1924,武汉语言文化, 湖北,http://college.gaokao.com/school/1658/, 工科, 湖北省教育厅, www.wlci.com.cn, 高职专科
1925,湖北科技职业, 湖北,http://college.gaokao.com/school/1659/, 工科, ——, www.hubstc.com.cn, 高职专科
1926,湖南科技经贸, 湖南,http://college.gaokao.com/school/1660/, 财经, 湖南省教育厅, www.hnkjjm.com, 高职专科
1927,湖南九嶷职业, 湖南,http://college.gaokao.com/school/1661/, 综合, 湖南省教育厅, www.4744edu.com, 高职专科
1928,湖南都市职业, 湖南,http://college.gaokao.com/school/1662/, 工科, ——, www.hnupc.com, 高职专科
1929,湖南软件职业, 湖南,http://college.gaokao.com/school/1663/, 工科, ——, www.hnsoftedu.com, 高职专科
1930,长沙南方职业, 湖南,http://college.gaokao.com/school/1664/, 综合, ——, www.nfdx.net, 高职专科
